event_type,scheduled_at_utc,importance,source,source_series_names
PCE,2021-07-30 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jun); Core PCE Price Index YoY (Jun); PCE Price Index MoM (Jun); PCE Price Index YoY (Jun)
NFP,2021-08-06 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jul); Nonfarm Payrolls Private (Jul)
CPI,2021-08-11 12:30:00,high,fmp_economics_calendar,CPI (Jul); Core Inflation Rate MoM (Jul); Core Inflation Rate YoY (Jul); Inflation Rate MoM (Jul); Inflation Rate YoY (Jul)
FOMC_MINUTES,2021-08-18 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2021-08-27 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jul); Core PCE Price Index YoY (Jul); PCE Price Index MoM (Jul); PCE Price Index YoY (Jul)
NFP,2021-09-03 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Aug); Nonfarm Payrolls Private (Aug)
CPI,2021-09-14 12:30:00,high,fmp_economics_calendar,CPI (Aug); Core Inflation Rate MoM (Aug); Core Inflation Rate YoY (Aug); Inflation Rate MoM (Aug); Inflation Rate YoY (Aug)
FOMC_DECISION,2021-09-22 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2021-10-01 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Aug); Core PCE Price Index YoY (Aug); PCE Price Index MoM (Aug); PCE Price Index YoY (Aug)
NFP,2021-10-08 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Sep); Nonfarm Payrolls Private (Sep)
CPI,2021-10-13 12:30:00,high,fmp_economics_calendar,CPI (Sep); Core Inflation Rate MoM (Sep); Core Inflation Rate YoY (Sep); Inflation Rate MoM (Sep); Inflation Rate YoY (Sep)
FOMC_MINUTES,2021-10-13 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2021-10-29 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Sep); Core PCE Price Index YoY (Sep); PCE Price Index MoM (Sep); PCE Price Index YoY (Sep)
FOMC_DECISION,2021-11-03 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
NFP,2021-11-05 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Oct); Nonfarm Payrolls Private (Oct)
CPI,2021-11-10 13:30:00,high,fmp_economics_calendar,CPI (Oct); Core Inflation Rate MoM (Oct); Core Inflation Rate YoY (Oct); Inflation Rate MoM (Oct); Inflation Rate YoY (Oct)
PCE,2021-11-24 15:00:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Oct); Core PCE Price Index YoY (Oct); PCE Price Index MoM (Oct); PCE Price Index YoY (Oct)
FOMC_MINUTES,2021-11-24 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2021-12-03 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Nov); Nonfarm Payrolls Private (Nov)
CPI,2021-12-10 13:30:00,high,fmp_economics_calendar,CPI (Nov); Core Inflation Rate MoM (Nov); Core Inflation Rate YoY (Nov); Inflation Rate MoM (Nov); Inflation Rate YoY (Nov)
FOMC_DECISION,2021-12-15 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2021-12-23 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Nov); Core PCE Price Index YoY (Nov); PCE Price Index MoM (Nov); PCE Price Index YoY (Nov)
FOMC_MINUTES,2022-01-05 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2022-01-07 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Dec); Nonfarm Payrolls Private (Dec)
CPI,2022-01-12 13:30:00,high,fmp_economics_calendar,CPI (Dec); Core Inflation Rate MoM (Dec); Core Inflation Rate YoY (Dec); Inflation Rate MoM (Dec); Inflation Rate YoY (Dec)
FOMC_DECISION,2022-01-26 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2022-01-28 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Dec); Core PCE Price Index YoY (Dec); PCE Price Index MoM (Dec); PCE Price Index YoY (Dec)
NFP,2022-02-04 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jan); Nonfarm Payrolls Private (Jan)
CPI,2022-02-10 13:30:00,high,fmp_economics_calendar,CPI (Jan); Core Inflation Rate MoM (Jan); Core Inflation Rate YoY (Jan); Inflation Rate MoM (Jan); Inflation Rate YoY (Jan)
FOMC_MINUTES,2022-02-16 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2022-02-25 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jan); Core PCE Price Index YoY (Jan); PCE Price Index MoM (Jan); PCE Price Index YoY (Jan)
NFP,2022-03-04 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Feb); Nonfarm Payrolls Private (Feb)
CPI,2022-03-10 13:30:00,high,fmp_economics_calendar,CPI (Feb); Core Inflation Rate MoM (Feb); Core Inflation Rate YoY (Feb); Inflation Rate MoM (Feb); Inflation Rate YoY (Feb)
FOMC_DECISION,2022-03-16 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2022-03-31 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Feb); Core PCE Price Index YoY (Feb); PCE Price Index MoM (Feb); PCE Price Index YoY (Feb)
NFP,2022-04-01 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Mar); Nonfarm Payrolls Private (Mar)
FOMC_MINUTES,2022-04-06 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
CPI,2022-04-12 12:30:00,high,fmp_economics_calendar,CPI (Mar); Core Inflation Rate MoM (Mar); Core Inflation Rate YoY (Mar); Inflation Rate MoM (Mar); Inflation Rate YoY (Mar)
PCE,2022-04-29 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Mar); Core PCE Price Index YoY (Mar); PCE Price Index MoM (Mar); PCE Price Index YoY (Mar)
FOMC_DECISION,2022-05-04 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
NFP,2022-05-06 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Apr); Nonfarm Payrolls Private (Apr)
CPI,2022-05-11 12:30:00,high,fmp_economics_calendar,CPI (Apr); Core Inflation Rate MoM (Apr); Core Inflation Rate YoY (Apr); Inflation Rate MoM (Apr); Inflation Rate YoY (Apr)
FOMC_MINUTES,2022-05-25 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
